image,description,features
women_fashion/salwar-kameez-in-a-vibrant-red-color-with-detailed-embroidery.jpg, ethnic salwar kameez vibrant red detailed embroidery,ethnic salwar kameez vibrant red
women_fashion/strapless-red-midi-dress-with-a-mermaid-silhouette.jpg,elegant strapless red midi dress mermaid silhouette,elegant strapless red midi mermaid silhouette
women_fashion/off-the-shoulder-black-ball-gown.jpg,elegant off the shoulder black ball gown ,elegant off the shoulder black
women_fashion/red-dress-with-a-pattern-of-small-white-flowers.jpg,summer floral red dress pattern small white flowers,summer floral red white pattern small
women_fashion/black-dress-with-sparkling-details.jpg,party  black dress sparkling ,party black sparkling
women_fashion/ladies-party-wear-cotton-short-dress-full.jpg,pattern short dress summer,pattern short summer
women_fashion/dress-with-a-classic-black-and-white-houndstooth-pattern.jpg,business dress classic black white houndstooth pattern,business classic black white houndstooth pattern
women_fashion/bright-red-form-fitting-strapless-dress-with-a-high-slit-on-one-side-revealing-part-of-the-leg.jpg,elegant  bright red formfitting strapless dress high slit one side revealing part leg,elegant bright red formfitting strapless  high slit one side revealing
women_fashion/dark-elegant-sleeveless-dress-that-reaches-down-to-about-mid-calf.jpg,black dark elegant sleeveless dress reaches midcalf,black dark elegant sleeveless midcalf
women_fashion/black-top-white-trousers.jpg, casual modern black top white trousers,casual modern black white
women_fashion/blue-dress-with-a-floral-pattern.jpg,summer blue dress floral pattern,summer blue floral
women_fashion/sophisticated-black-dress-with-an-asymmetrical-design-with-one-sleeve-and-a-strapless-neckline-on-the-opposite-side.jpg,sophisticated black dress asymmetrical design one sleeve strapless formal,sophisticated black asymmetrical design one sleeve strapless formal
women_fashion/dark-blue-knee-length-dress-with-thin-straps.jpg,party dark blue kneelength dress thin straps,party dark blue kneelength thin straps
women_fashion/light-brown-sleeveless-double-breasted-blazer-paired-with-matching-straight-leg-trousers.jpg,formal business  light brown sleeveless doublebreasted blazer paired matching straightleg trousers,formal business light brown sleeveless doublebreasted straightleg paired matching
women_fashion/sleeveless-dress-with-a-high-neckline.jpg,intricate sleeveless dress high neckline,intricate sleeveless high neckline
women_fashion/sparkling-blue-dress.jpg,party sparkling blue dress,party sparkling blue
women_fashion/burnt-orange-long-sleeve-top-a-plaid-skirt-with-brown-tones-and-a-matching-burnt-orange-beret.jpg,dark academia burnt orange longsleeve top plaid skirt brown orange beret,dark academia burnt orange longsleeve plaid brown orange
women_fashion/floral-dress-with-long-sleeves.jpg,summer floral dress long sleeves,summer floral dress
women_fashion/sleeveless-dress-adorned-with-pink-sequins.jpg,shiny party sparkly sleeveless dress pink sequins,shiny party sparkly sleeveless dress
women_fashion/yellow-intricately-designed-Anarkali-suit.jpg, yellow intricately designed anarkali suit,yellow intricately designed
women_fashion/fitted-off-the-shoulder-white-dress-with-horizontal-ribbed-texture.jpg, fitted elegant white off shoulder dress,fitted elegant white off
women_fashion/sparkling-sequined-dress.jpg,party disco sparkling sequined dress,party disco sparkling
women_fashion/anarkali-suit-It-consists-of-a-turquoise-skirt-with-detailed-golden-embroidery-a-multicolored-blouse-with-floral-patterns-and-an-orange-dupatta-with-lace-borders.jpg,anarkali sui turquoise golden embroidery  floral patterns , turquoise golden embroidery
